ItemNumb,group,ItemID,AdjType,ConditionID,DominantOrder,NounFirstOrder,NounLastOrder,ActionVidFilename,NounFirstFile,NounLastFile
1,L5,Egg,Pattern,NounVerb,NounFirst,ANV,VAN,Action_Egg.mp4,Gesture_Egg_ANV.mp4,Gesture_Egg_VAN.mp4
2,L5,Egg,Pattern,NounVerb,NounFirst,ANV,VAN,Action_Egg.mp4,Gesture_Egg_ANV.mp4,Gesture_Egg_VAN.mp4
3,L5,Egg,Pattern,NounVerb,NounFirst,ANV,VAN,Action_Egg.mp4,Gesture_Egg_ANV.mp4,Gesture_Egg_VAN.mp4
4,L5,Egg,Pattern,NounVerb,NounFirst,ANV,VAN,Action_Egg.mp4,Gesture_Egg_ANV.mp4,Gesture_Egg_VAN.mp4
5,L5,Headband,Texture,NounVerb,NounFirst,ANV,VAN,Action_Headband.mp4,Gesture_Headband_ANV.mp4,Gesture_Headband_VAN.mp4
6,L5,Headband,Texture,NounVerb,NounFirst,ANV,VAN,Action_Headband.mp4,Gesture_Headband_ANV.mp4,Gesture_Headband_VAN.mp4
7,L5,Headband,Texture,NounVerb,NounFirst,ANV,VAN,Action_Headband.mp4,Gesture_Headband_ANV.mp4,Gesture_Headband_VAN.mp4
8,L5,Headband,Texture,NounVerb,NounFirst,ANV,VAN,Action_Headband.mp4,Gesture_Headband_ANV.mp4,Gesture_Headband_VAN.mp4
9,L5,Lollipop,Shape,NounVerb,NounFirst,ANV,VAN,Action_Lollipop.mp4,Gesture_Lollipop_ANV.mp4,Gesture_Lollipop_VAN.mp4
10,L5,Lollipop,Shape,NounVerb,NounFirst,ANV,VAN,Action_Lollipop.mp4,Gesture_Lollipop_ANV.mp4,Gesture_Lollipop_VAN.mp4
11,L5,Lollipop,Shape,NounVerb,NounFirst,ANV,VAN,Action_Lollipop.mp4,Gesture_Lollipop_ANV.mp4,Gesture_Lollipop_VAN.mp4
12,L5,Lollipop,Shape,NounVerb,NounFirst,ANV,VAN,Action_Lollipop.mp4,Gesture_Lollipop_ANV.mp4,Gesture_Lollipop_VAN.mp4
13,L5,Paintbrush,Size,NounVerb,NounFirst,ANV,VAN,Action_Paintbrush.mp4,Gesture_Paintbrush_ANV.mp4,Gesture_Paintbrush_VAN.mp4
14,L5,Paintbrush,Size,NounVerb,NounFirst,ANV,VAN,Action_Paintbrush.mp4,Gesture_Paintbrush_ANV.mp4,Gesture_Paintbrush_VAN.mp4
15,L5,Paintbrush,Size,NounVerb,NounFirst,ANV,VAN,Action_Paintbrush.mp4,Gesture_Paintbrush_ANV.mp4,Gesture_Paintbrush_VAN.mp4
16,L5,Paintbrush,Size,NounVerb,NounFirst,ANV,VAN,Action_Paintbrush.mp4,Gesture_Paintbrush_ANV.mp4,Gesture_Paintbrush_VAN.mp4
